Topic,Mas,Ecs_1,Ecs_2,Ecs_3,Snp,Cnf_1,Cnf_2,Cnf_3,Cnf_4,Sub,Sen,Slc,index,Label_wp,Label_np
Should students be taught to compete or to cooperate?,0.86058857,0.86058857,0.7345783775,0.6967187112,0,0,1,0,0,0.9918006692,0.333,14,1,0,0
Should students be taught to compete or to cooperate?,0.86058857,0.86058857,0.7275562079,0,0,0,1,0,0,0.9795087507,0,4,1,0,0
Should students be taught to compete or to cooperate?,0.6472367102,0.6472367102,0.7345783775,0.6967187112,0,0,0,0,0,0.9106314144,0.478,9,1,0,0
Should students be taught to compete or to cooperate?,0.86058857,0.86058857,0.7345783775,0.6967187112,0,0,1,0,0,0.9918006692,0.333,14,1,0,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.001985708,0,7,2,0,0
Should students be taught to compete or to cooperate?,0.6740676741,0.8061440732,0.6313031614,0.7800644318,0,0,1,0,0,0.1703934367,0.293,8,2,0,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.8872006869,0,4,2,0,0
Should students be taught to compete or to cooperate?,0.6097526393,0.7931591191,0.722927113,0.7750163323,0,0,1,0,0,0.862117683,0,5,2,0,0
Should students be taught to compete or to cooperate?,0.6740676741,0.8061440732,0.722927113,0.7800644318,0,0,1,0,0,0.0001081928,0.121,27,2,0,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.4878061641,0,9,3,0,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.9706746401,0,10,3,0,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.972540142,0,6,3,0,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.0989733728,0,33,3,0,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.9785915862,0,5,4,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0.8514796251,0.522166276,0,0,0,1,0,0,0.9997367985,0.189,15,4,1,1
Should students be taught to compete or to cooperate?,0.7831520725,0.8514796251,0.522166276,0,0,0,1,0,0,0.9977550378,0,3,4,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,0,0,0,0.9717625078,0.237,11,4,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0.8514796251,0.522166276,0,0,0,1,0,0,0.9999462149,0.141,21,4,1,1
Should students be taught to compete or to cooperate?,0.717352404,0.6667231833,0.7524945275,0.7374837682,0,0,1,1,0,0.0069425056,0.107,17,5,1,1
Should students be taught to compete or to cooperate?,0.7444543072,0.8849973495,0.7524945275,0.7374837682,0,0,1,1,0,0.003105199,0.083,24,5,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.593007366,0.151,20,6,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.4947861151,0,7,6,1,0
Should students be taught to compete or to cooperate?,0.8449646816,0.9115101084,0,0.9192905949,0,0,1,0,0,0.2658481607,0.119,28,6,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.6851914664,0,5,7,1,0
Should students be taught to compete or to cooperate?,0.717352404,0.6667231833,0.6500921585,0.7374837682,0,0,0,0,0,0.675033833,0,11,7,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.4941013239,0,5,7,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.9072595351,0,4,7,1,0
Should students be taught to compete or to cooperate?,0.4655690121,0.7968227696,0.7324415962,0.7399895192,0,0,0,0,0,0.0610775422,0.191,13,7,1,0
Should students be taught to compete or to cooperate?,0.717352404,0.7968227696,0.7324415962,0.7399895192,0,0,0,0,0,0.0036699786,0.067,42,7,1,0
Should students be taught to compete or to cooperate?,0.6194349977,0.5880638725,0.7524945275,0.4982200087,0,0,1,0,0,0.009862366,0.302,22,8,1,0
