Topic,Mas,Ecs_1,Ecs_2,Ecs_3,Cnf_1,Cnf_2,Cnf_3,Cnf_4,Sub,Sen,sq1,sq2,sq3,sq4,sq5,sq6,sq7,Title,Sen_num
democracy matters,0.5786964122,0.7392332529,0.490559286,0.5557541516,0,1,0,0,0.0407993815,0,0.1052631579,0.0526315789,0.1578947368,0.2105263158,0.1578947368,0.2631578947,0,Why_democracy_matters,1
democracy matters,0.4143335094,0.7392332529,0.3415914534,0.4491087721,0,1,0,0,0.1487277913,0.143,0,0,0.0769230769,0,0,0,0,Why_democracy_matters,2
democracy matters,0.4156031207,0.4156031207,0.2476423341,0.5557541516,0,1,1,0,0.6578594927,0.166,0.0625,0.125,0.0625,0.0625,0.1875,0.125,0,Why_democracy_matters,3
democracy matters,0.5786964122,0.5786964122,0.490559286,0.3000116641,0,1,0,0,0.8980455724,0.156,0,0,0,0,0,0,0,Why_democracy_matters,4
democracy matters,0.5160610389,0.7449909126,0.490559286,0.4491087721,0,1,0,0,0.4025744683,0.21,0,0,0,0,0.1428571429,0.1428571429,0,Why_democracy_matters,5
democracy matters,0.6169267499,0.7449909126,0.5783571457,0,0,1,0,0,0.9989128442,0.89,0,0,0,0,0,0,0,Why_democracy_matters,6
democracy matters,0.5160610389,0.7449909126,0.490559286,0.4491087721,0,1,0,0,0.8552336766,0,0,0.0714285714,0,0,0.0714285714,0.0714285714,0,Why_democracy_matters,7
democracy matters,0.5937662864,0.7449909126,0.490559286,0,0,1,1,0,0.9999991907,0.094,0,0,0,0,0.0175438596,0.0175438596,0.0175438596,Why_democracy_matters,8
democracy matters,0.5484785359,0.4638060282,0.4386270724,0,0,1,0,0,0.7900620484,0.26,0,0,0,0,0,0,0,Why_democracy_matters,9
democracy matters,0.5484785359,0.4638060282,0.4386270724,0,0,1,0,0,0.0184939245,0,0,0,0,0,0,0,0.037037037,Why_democracy_matters,10
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.9999838901,0.048,0,0,0,0,0,0,0.0540540541,Why_democracy_matters,11
democracy matters,0.6719771932,0,0,0,0,1,0,1,0.9891350091,0.273,0,0,0,0,0,0,0,Why_democracy_matters,12
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,0,0.6220714089,0.197,0,0,0,0,0,0,0,Why_democracy_matters,13
democracy matters,0.6176716214,0.6797823256,0.7527727463,0.7534693124,0,1,0,1,0.9999797244,0.133,0,0,0,0,0,0,0,Why_democracy_matters,14
democracy matters,0.6719771932,0.5812106613,0.597214733,0.7808209645,0,1,1,1,0.0006001446,0.097,0,0,0.0689655172,0.0689655172,0.0344827586,0,0,Why_democracy_matters,15
democracy matters,0.6176716214,0.6176716214,0.4945297116,0.7534693124,0,0,0,0,0.0421774073,0.323,0,0,0,0,0,0,0,Why_democracy_matters,16
democracy matters,0.667412252,0.6846389833,0.7697527262,0.6498428478,0,0,1,0,0.5104364461,0.173,0,0,0,0,0,0,0,Why_democracy_matters,17
democracy matters,0.8799965739,0.8799965739,0.8232737356,0.6634177503,1,0,1,0,0.8655238084,0,0,0,0,0,0,0,0,Why_democracy_matters,18
democracy matters,0.8045270517,0.8073582839,0.6550656234,0.8504640636,0,1,0,0,0.0408238451,0.517,0,0,0,0,0,0,0.0588235294,Why_democracy_matters,19
democracy matters,0.5350812626,0.8799965739,0.8232737356,0.6227197321,0,0,0,0,0.9210430274,0.267,0,0,0,0,0,0,0,Why_democracy_matters,20
democracy matters,0.6766655542,0.7534693124,0.7370790365,0.6744179762,0,1,0,0,0.520899449,0.508,0,0,0,0,0,0,0,Why_democracy_matters,21
democracy matters,0.6647448166,0,0,0,0,1,0,0,0.9628093321,0,0,0,0,0,0,0,0,Why_democracy_matters,22
democracy matters,0.6528423537,0.7553346035,0.411587998,0.7134332403,0,1,0,1,0.9979511616,0.297,0,0,0.0384615385,0,0,0,0,Why_democracy_matters,23
democracy matters,0.6528423537,0,0,0,0,1,0,1,0.9962455136,0,0,0,0,0,0,0,0.1538461538,Why_democracy_matters,24
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.9434149153,0,0,0,0,0,0,0,0,Why_democracy_matters,25
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.9402120032,0,0,0,0,0,0,0,0,Why_democracy_matters,26
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.0465332333,0.325,0,0,0,0,0,0,0,Why_democracy_matters,27
democracy matters,0,0,0,0,0,0,0,0,0.8742003288,1,0,0,0,0,0,0,0,Why_democracy_matters,28
democracy matters,0.7440788311,0.8073582839,0.7851156687,0.7828209301,1,1,0,1,0.3414929978,0.328,0.0784313725,0.0980392157,0.0588235294,0.0588235294,0.137254902,0.0588235294,0,Why_democracy_matters,29
democracy matters,0.6697957429,0.7534693124,0.5816139582,0.6744179762,1,1,0,1,0.9666735924,0.189,0,0,0,0,0,0,0.1153846154,Why_democracy_matters,30
democracy matters,0.6719771932,0.7830013007,0.6072160727,0.7742754797,1,1,0,1,0.9547341057,0.129,0,0,0,0,0,0,0,Why_democracy_matters,31
democracy matters,0.60739618,0.7449909126,0.5375402819,0,0,1,0,0,0.9563279,0.172,0.064516129,0.0322580645,0,0.0322580645,0.0322580645,0.0967741935,0,Why_democracy_matters,32
democracy matters,0.6647448166,0,0,0,0,1,0,0,0.5655253528,0.259,0,0,0.4285714286,0,0,0,0,Why_democracy_matters,33
democracy matters,0.6238962448,0,0,0,0,1,0,0,0.7367865938,0,0,0,0.0833333333,0,0,0,0,Why_democracy_matters,34
democracy matters,0,0,0,0,0,0,0,0,0.9678979521,0.512,0,0,0,0,0,0,0,Why_democracy_matters,35
democracy matters,0.6528423537,0.6169267499,0.5783571457,0,0,1,0,1,0.9886075838,0.143,0,0,0,0,0,0,0,Why_democracy_matters,36
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,0,0,0,0.6995346205,0.201,0,0,0,0,0,0,0,Why_democracy_matters,37
democracy matters,0.6528423537,0.7449909126,0.490559286,0,0,1,0,1,0.9999622678,0.202,0,0,0,0,0,0,0,Why_democracy_matters,38
democracy matters,0.6819286406,0.7122174977,0.6169970109,0.7448580794,0,0,1,1,0.9326893297,0.183,0.0243902439,0.0243902439,0.0731707317,0.0487804878,0.0243902439,0.0487804878,0,Why_democracy_matters,39
democracy matters,0,0,0,0,0,0,0,0,0.8120035446,0,0,0,0,0,0,0,0,Why_democracy_matters,40
democracy matters,0,0,0,0,0,0,0,0,0.8120035446,0,0,0,0,0,0,0,0,Why_democracy_matters,41
democracy matters,0.6719771932,0.764286383,0.490559286,0.7574795791,0,1,0,1,0.9649807451,0.192,0.037037037,0.0555555556,0.0185185185,0.0740740741,0.0740740741,0.0185185185,0,Why_democracy_matters,42
democracy matters,0.6647448166,0,0,0,0,1,0,0,0.943991798,0.256,0,0,0.3,0,0,0,0,Why_democracy_matters,43
democracy matters,0.6872959435,0.816726618,0.7453914866,0.8494011316,0,1,0,0,0.9998120952,0.132,0.023255814,0.0465116279,0.0930232558,0.0930232558,0.0465116279,0.0930232558,0,Why_democracy_matters,44
democracy matters,0.6322973661,0.740688649,0.5781057655,0.6322973661,0,1,0,0,0.9944186899,0.213,0,0,0,0,0,0,0,Why_democracy_matters,45
democracy matters,0.6322973661,0.6322973661,0.5468964272,0.6322973661,0,1,0,0,0.9891470305,0.31,0,0,0.1428571429,0,0,0,0,Why_democracy_matters,46
democracy matters,0.5160610389,0.7449909126,0.6565323047,0,0,1,0,1,0.9995320126,0.058,0.0434782609,0.1739130435,0,0.1304347826,0.1304347826,0.1739130435,0,Why_democracy_matters,47
democracy matters,0.5160610389,0.7449909126,0.490559286,0,0,1,0,0,0.9878236822,0.1,0,0.0666666667,0,0.0666666667,0.0666666667,0,0,Why_democracy_matters,48
democracy matters,0.8073582839,0.8495843965,0.7958946031,0.7134332403,0,1,1,1,0.4885337669,0.148,0,0.0098039216,0.0490196078,0.0196078431,0.0098039216,0.0098039216,0.0098039216,Why_democracy_matters,49
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.4174404581,0.172,0,0,0,0,0,0,0,Why_democracy_matters,50
democracy matters,0.6528423537,0.6169267499,0.5783571457,0,0,1,0,0,0.9060630356,0.068,0.3125,0.0625,0,0,0.125,0.1875,0,Why_democracy_matters,51
democracy matters,0.6528423537,0.6169267499,0.5783571457,0,0,1,0,0,0.4745554102,0.117,0.3870967742,0.1612903226,0.064516129,0.1290322581,0.1935483871,0.1935483871,0,Why_democracy_matters,52
democracy matters,0.6528423537,0,0,0,0,0,0,0,0.982402209,0.278,0,0,0,0,0,0,0,Why_democracy_matters,53
democracy matters,0.5937662864,0,0,0,0,1,0,0,0.9336217534,0.531,0,0,0,0,0,0,0,Why_democracy_matters,54
democracy matters,0.7440788311,0.8073582839,0.654325624,0.7828209301,0,1,0,1,0.5245726663,0.277,0.0188679245,0.0377358491,0.0283018868,0.0566037736,0.0283018868,0.0188679245,0.0471698113,Why_democracy_matters,55
democracy matters,0.4675128027,0.7163396675,0.490559286,0.5476346996,0,1,0,0,0.9838875422,0,0,0.1428571429,0,0.1428571429,0.1428571429,0.1428571429,0,Why_democracy_matters,56
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,0,0.9984939324,0,0.5,0.25,0,0,0.25,0.375,0,Why_democracy_matters,57
democracy matters,0.6169267499,0.7163396675,0.5783571457,0.5476346996,0,1,0,0,0.9935055768,0.323,0.4666666667,0.2,0.2,0.2,0.2666666667,0.0666666667,0,Why_democracy_matters,58
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,0,0.9999757574,0.241,0.25,0,0.1666666667,0.25,0.25,0,0,Why_democracy_matters,59
democracy matters,0.4675128027,0.7163396675,0.490559286,0.5476346996,0,1,0,0,0.9695110895,0,0,0.1666666667,0,0,0.1666666667,0.1666666667,0,Why_democracy_matters,60
democracy matters,1,0.764286383,0.6544822409,0.4971343519,0,1,0,0,0.9774029204,0.273,0.0714285714,0.2857142857,0.0714285714,0.1428571429,0.1428571429,0,0,Why_democracy_matters,61
democracy matters,0.6169267499,0.6169267499,0.5783571457,0.8290417835,0,1,0,0,0.9845128626,0.162,0,0,0.0333333333,0,0,0,0,Why_democracy_matters,62
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.9587858074,0.082,0,0,0,0,0,0,0,Why_democracy_matters,63
democracy matters,0.8799965739,0.8799965739,0.8232737356,0,0,1,0,0,0.9754796912,0,0,0,0,0,0,0,0,Why_democracy_matters,64
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,0,0.9162193666,0,0,0,0,0,0,0,0,Why_democracy_matters,65
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,0,0.9587246888,0,0,0,0,0,0,0,0,Why_democracy_matters,66
democracy matters,0.6059100835,0.6885811071,0.615191185,0.6791720816,0,1,0,0,0.9211249356,0.348,0.1428571429,0.2857142857,0,0,0.2857142857,0.2857142857,0,Why_democracy_matters,67
democracy matters,0.5937662864,0.7449909126,0.7647597121,0,0,1,1,0,0.9268264908,0,0.0222222222,0.0222222222,0.0222222222,0.0444444444,0.0222222222,0.0666666667,0,Why_democracy_matters,68
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,0,0.9966507317,0.177,0,0.1666666667,0,0,0.1666666667,0,0,Why_democracy_matters,69
democracy matters,0.7288740739,0.7288740739,0.6148288876,0.7059244523,0,1,1,1,0.139727218,0.056,0,0,0,0,0,0,0.023255814,Why_democracy_matters,70
democracy matters,0.6528423537,0,0,0,0,1,0,0,0.829051317,0.392,0,0,0,0,0,0,0,Why_democracy_matters,71
democracy matters,0.6528423537,0.7808209645,0.5789548594,0.5169574586,1,1,0,0,0.9999858229,0.195,0,0,0,0,0,0,0.2368421053,Why_democracy_matters,72
democracy matters,0.6528423537,0.6980216393,0.7647597121,0,0,1,0,0,0.9496874541,0,0.0714285714,0.1428571429,0.0714285714,0.1428571429,0.1428571429,0,0,Why_democracy_matters,73
democracy matters,0.6169267499,0.6772228587,0.7257098182,0.7292111685,0,1,0,0,0.686605506,0.236,0.1538461538,0,0.0256410256,0.0769230769,0.0769230769,0,0.0256410256,Why_democracy_matters,74
democracy matters,0.6825527342,0.7270800654,0.71995138,0.6967849749,0,1,0,1,0.6952773647,0.11,0.012345679,0,0.049382716,0.024691358,0.012345679,0.037037037,0.024691358,Why_democracy_matters,75
democracy matters,0.6723788017,0,0,0,0,0,0,0,0.8955789912,0,0,0,0,0,0,0,0,Why_democracy_matters,76
democracy matters,0.6169267499,0.6169267499,0.5783571457,0,0,1,0,1,0.8323072694,0,0,0,0,0,0,0,0,Why_democracy_matters,77
